
──── A · explorer.exe 真实双击 ────
t=  1.7s 壳=0 宿主=0 启动器=1 cmd=12
t=  3.2s 壳=1 宿主=0 启动器=1 cmd=12
t=  4.7s 壳=4 宿主=1 启动器=1 cmd=12
t=  6.4s 壳=5 宿主=1 启动器=1 cmd=12
t=  8.0s 壳=5 宿主=1 启动器=1 cmd=12
t=  9.6s 壳=5 宿主=1 启动器=1 cmd=13
t= 11.4s 壳=0 宿主=0 启动器=1 cmd=13
t= 13.1s 壳=0 宿主=0 启动器=0 cmd=13
t= 14.7s 壳=0 宿主=0 启动器=0 cmd=13
t= 16.3s 壳=0 宿主=0 启动器=0 cmd=13

──── B · spawn cmd.exe /c ────
t=  1.6s 壳=0 宿主=0 启动器=1 cmd=13
t=  3.1s 壳=1 宿主=0 启动器=1 cmd=13
t=  4.8s 壳=4 宿主=1 启动器=1 cmd=13
t=  6.6s 壳=5 宿主=1 启动器=1 cmd=13
t=  8.2s 壳=5 宿主=1 启动器=1 cmd=13
t= 10.1s 壳=5 宿主=1 启动器=1 cmd=14
t= 11.9s 壳=5 宿主=1 启动器=1 cmd=14
t= 13.7s 壳=5 宿主=1 启动器=1 cmd=14
t= 15.5s 壳=5 宿主=1 启动器=1 cmd=14
t= 17.2s 壳=5 宿主=1 启动器=1 cmd=14
t= 18.9s 壳=5 宿主=1 启动器=1 cmd=14
t= 20.5s 壳=5 宿主=1 启动器=1 cmd=13
t= 22.1s 壳=5 宿主=1 启动器=1 cmd=13
t= 23.7s 壳=5 宿主=1 启动器=1 cmd=13
t= 25.2s 壳=5 宿主=1 启动器=1 cmd=13
t= 26.8s 壳=5 宿主=1 启动器=1 cmd=13
t= 28.3s 壳=5 宿主=1 启动器=1 cmd=13
t= 29.8s 壳=5 宿主=1 启动器=1 cmd=13
t= 31.7s 壳=5 宿主=1 启动器=1 cmd=13
t= 33.4s 壳=5 宿主=1 启动器=1 cmd=13
t= 35.0s 壳=5 宿主=1 启动器=1 cmd=13
t= 36.8s 壳=5 宿主=1 启动器=1 cmd=13
t= 38.6s 壳=5 宿主=1 启动器=1 cmd=13
t= 40.2s 壳=5 宿主=1 启动器=1 cmd=13
t= 41.9s 壳=5 宿主=1 启动器=1 cmd=13
t= 43.7s 壳=5 宿主=1 启动器=1 cmd=13
t= 45.6s 壳=5 宿主=1 启动器=1 cmd=13
t= 47.3s 壳=5 宿主=1 启动器=1 cmd=13
t= 49.0s 壳=5 宿主=1 启动器=1 cmd=13
t= 50.8s 壳=5 宿主=1 启动器=1 cmd=13
t= 52.6s 壳=5 宿主=1 启动器=1 cmd=13
t= 54.3s 壳=5 宿主=1 启动器=1 cmd=13
t= 56.0s 壳=5 宿主=1 启动器=1 cmd=13
t= 57.9s 壳=5 宿主=1 启动器=1 cmd=13
t= 59.6s 壳=5 宿主=1 启动器=1 cmd=13
t= 61.4s 壳=5 宿主=1 启动器=1 cmd=13
t= 63.1s 壳=5 宿主=1 启动器=1 cmd=13
t= 65.0s 壳=5 宿主=1 启动器=1 cmd=13
t= 66.5s 壳=5 宿主=1 启动器=1 cmd=13
t= 68.1s 壳=5 宿主=1 启动器=1 cmd=13
